阿拉伯语 a1'la1'bo2'yu3
背道而驰 bei4'dao4'er2'chi2
背井离乡 bei4'jing3'li2'xiang1
背水一战 bei4'shui3'yi1'zhan4
背信弃义 bei4'xin4'qi4'yi4
奔走呼号 ben1'zou3'hu1'hao2
奔走相告 ben1'zou3'xiang1'gao4
本本主义 ben3'ben3'zhu3'yi4
本末倒置 ben3'mo4'dao4'zhi4
本位主义 ben3'wei4'zhu3'yi4
笨鸟先飞 ben4'niao3'xian1'fei1
笨手笨脚 ben4'shou3'ben4'jiao3
笨头笨脑 ben4'tou2'ben4'nao3
逼良为娼 bi1'liang2'wei2'chang1
逼上梁山 bi1'shang4'liang2'shan1
鼻青脸肿 bi2'qing1'lian3'zhong3
鼻子眼儿 bi2'zi'yan3'er
比比皆是 bi3'bi3'jie1'shi4
比翼齐飞 bi3'yi4'qi2'fei1
笔墨官司 bi3'mo4'guan1'si1
笔走龙蛇 bi3'zou3'long2'she2
必由之路 bi4'you2'zhi1'lu4
毕恭毕敬 bi4'gong1'bi4'jing4
闭关锁国 bi4'guan1'suo3'guo2
闭关自守 bi4'guan1'zi4'shou3
闭路电视 bi4'lu4'dian4'shi4
闭门思过 bi4'men2'si1'guo4
闭门造车 bi4'men2'zao4'che1
闭目塞听 bi4'mu4'se4'ting1
闭月羞花 bi4'yue4'xiu1'hua1
敝帚自珍 bi4'zhou3'zi4'zhen1
筚路蓝缕 bi4'lu4'lan2'lv3
碧血丹心 bi4'xue4'dan1'xin1
壁垒森严 bi4'lei3'sen1'yan2
避实就虚 bi4'shi2'jiu4'xu1
避重就轻 bi4'zhong4'jiu4'qing1
鞭长莫及 bian1'chang2'mo4'ji2
鞭打快牛 bian1'da3'kuai4'niu2
鞭辟入里 bian1'pi4'ru4'li3
便宜行事 bian4'yi2'xing2'shi4
变本加厉 bian4'ben3'jia1'li4
变化无常 bian4'hua4'wu2'chang2
变幻莫测 bian4'huan4'mo4'ce4
遍体鳞伤 bian4'ti3'lin2'shang1
彪形大汉 biao1'xing2'da4'han4
标点符号 biao1'dian3'fu2'hao4
标新立异 biao1'xin1'li4'yi4
膘肥体壮 biao1'fei2'ti3'zhuang4
表里不一 biao3'li3'bu4'yi1
表里如一 biao3'li3'ru2'yi1
表面文章 biao3'mian4'wen2'zhang1
别有风味 bie2'you3'feng1'wei4
别有天地 bie2'you3'tian1'di4
别有用心 bie2'you3'yong4'xin1
别无长物 bie2'wu2'zhang3'wu4
别出心裁 bie2'chu1'xin1'cai2
别具匠心 bie2'ju4'jiang4'xin1
别具一格 bie2'ju4'yi1'ge2
别开生面 bie2'kai1'sheng1'mian4
别树一帜 bie2'shu4'yi1'zhi4
别无二致 bie2'wu2'er4'zhi4
别有洞天 bie2'you3'dong4'tian1
宾至如归 bin1'zhi4'ru2'gui1
彬彬有礼 bin1'bin1'you3'li3
冰消瓦解 bing1'xiao1'wa3'jie3
冰清玉洁 bing1'qing1'yu4'jie2
冰糖葫芦 bing1'tang2'hu2'lu
冰天雪地 bing1'tian1'xue3'di4
兵不厌诈 bing1'bu4'yan4'zha4
兵荒马乱 bing1'huang1'ma3'luan4
兵临城下 bing1'lin2'cheng2'xia4
兵强马壮 bing1'qiang2'ma3'zhuang4
兵戎相见 bing1'rong2'xiang1'jian4
兵不血刃 bing1'bu4'xue4'ren4
秉公执法 bing3'gong1'zhi2'fa3
秉烛夜游 bing3'zhu2'ye4'you2
并驾齐驱 bing4'jia4'qi2'qu1
并行不悖 bing4'xing2'bu4'bei4
病入膏肓 bing4'ru4'gao1'huang1
拨乱反正 bo1'luan4'fan3'zheng4
波澜壮阔 bo1'lan2'zhuang4'kuo4
玻璃纤维 bo1'li'xian1'wei2
剥削阶级 bo1'xue1'jie1'ji2
伯仲之间 bo2'zhong4'zhi1'jian1
博采众长 bo2'cai3'zhong4'chang2
博大精深 bo2'da4'jing1'shen1
博古通今 bo2'gu3'tong1'jin1
博闻强记 bo2'wen2'qiang2'ji4
薄利多销 bo2'li4'duo1'xiao1
捕风捉影 bu3'feng1'zhuo1'ying3
不即不离 bu4'ji2'bu4'li2
不败之地 bu4'bai4'zhi1'di4
不胜其烦 bu4'sheng4'qi2'fan2
不平则鸣 bu4'ping2'ze2'ming2
不识时务 bu4'shi2'shi2'wu4
不识抬举 bu4'shi2'tai2'ju
不自量力 bu4'zi4'liang4'li4
不时之需 bu4'shi2'zhi1'xu1
不是味儿 bu4'shi4'wei4'er
不置可否 bu4'zhi4'ke3'fou3
不着边际 bu4'zhuo2'bian1'ji4
不治之症 bu4'zhi4'zhi1'zheng4
不知所终 bu4'zhi1'suo3'zhong1
不由自主 bu4'you2'zi4'zhu3
不白之冤 bu4'bai2'zhi1'yuan1
不卑不亢 bu4'bei1'bu4'kang4
不成方圆 bu4'cheng2'fang1'yuan2
不成体统 bu4'cheng2'ti3'tong3
不成文法 bu4'cheng2'wen2'fa3
不耻下问 bu4'chi3'xia4'wen4
不出所料 bu4'chu1'suo3'liao4
不揣冒昧 bu4'chuai3'mao4'mei4
不辞而别 bu4'ci2'er2'bie2
不打自招 bu4'da3'zi4'zhao1
不得而知 bu4'de2'er2'zhi1
不得要领 bu4'de2'yao4'ling3
不动声色 bu4'dong4'sheng1'se4
不对劲儿 bu4'dui4'jin4'er2
不对味儿 bu4'dui4'wei4'er
不二法门 bu4'er4'fa3'men2
不乏其例 bu4'fa2'qi2'li4
不乏其人 bu4'fa2'qi2'ren2
不法之徒 bu4'fa3'zhi1'tu2
不孚众望 bu4'fu2'zhong4'wang4
不负众望 bu4'fu4'zhong4'wang4
不负重望 bu4'fu4'zhong4'wang4
不尴不尬 bu4'gan1'bu4'ga4
不甘寂寞 bu4'gan1'ji4'mo4
不甘示弱 bu4'gan1'shi4'ruo4
不攻自破 bu4'gong1'zi4'po4
不共戴天 bu4'gong4'dai4'tian1
不苟言笑 bu4'gou3'yan2'xiao4
不过尔尔 bu4'guo4'er3'er3
不寒而栗 bu4'han2'er2'li4
不好意思 bu4'hao3'yi4'si
不哼不哈 bu4'heng1'bu4'ha1
不欢而散 bu4'huan1'er2'san4
不惑之年 bu4'huo4'zhi1'nian2
不计其数 bu4'ji4'qi2'shu4
不假思索 bu4'jia3'si1'suo3
不见经传 bu4'jian4'jing1'zhuan4
不解之缘 bu4'jie3'zhi1'yuan2
不近人情 bu4'jin4'ren2'qing2
不胫而走 bu4'jing4'er2'zou3
不咎既往 bu4'jiu4'ji4'wang3
不拘小节 bu4'ju1'xiao3'jie2
不拘一格 bu4'ju1'yi1'ge2
不绝如缕 bu4'jue2'ru2'lv3
不绝于耳 bu4'jue2'yu2'er3
不堪回首 bu4'kan1'hui2'shou3
不堪入目 bu4'kan1'ru4'mu4
不堪设想 bu4'kan1'she4'xiang3
不可告人 bu4'ke3'gao4'ren2
不可或缺 bu4'ke3'huo4'que1
不可救药 bu4'ke3'jiu4'yao4
不可开交 bu4'ke3'kai1'jiao1
不可抗力 bu4'ke3'kang4'li4
不可理喻 bu4'ke3'li3'yu4
不可名状 bu4'ke3'ming2'zhuang4
不可胜数 bu4'ke3'sheng4'shu3
不可收拾 bu4'ke3'shou1'shi
不可思议 bu4'ke3'si1'yi4
不可一世 bu4'ke3'yi1'shi4
不可逾越 bu4'ke3'yu2'yue4
不可知论 bu4'ke3'zhi1'lun4
不可终日 bu4'ke3'zhong1'ri4
不劳而获 bu4'lao2'er2'huo4
不了了之 bu4'liao3'liao3'zhi1
不伦不类 bu4'lun2'bu4'lei4
不落窠臼 bu4'luo4'ke1'jiu4
不蔓不枝 bu4'man4'bu4'zhi1
不毛之地 bu4'mao2'zhi1'di4
不名一文 bu4'ming2'yi1'wen2
不谋而合 bu4'mou2'er2'he2
不能自拔 bu4'neng2'zi4'ba2
不能自己 bu4'neng2'zi4'ji3
不偏不倚 bu4'pian1'bu4'yi3
不期而遇 bu4'qi1'er2'yu4
不求甚解 bu4'qiu2'shen4'jie3
不屈不挠 bu4'qu1'bu4'nao2
不忍卒读 bu4'ren3'zu2'du2
不容分说 bu4'rong2'fen1'shuo1
不容置喙 bu4'rong2'zhi4'hui4
不容置疑 bu4'rong2'zhi4'yi2
不辱使命 bu4'ru3'shi3'ming4
不三不四 bu4'san1'bu4'si4
不甚了了 bu4'shen4'le'le
不胜枚举 bu4'sheng4'mei2'ju3
不速之客 bu4'su4'zhi1'ke4
不同凡响 bu4'tong2'fan2'xiang3
不痛不痒 bu4'tong4'bu4'yang3
不为已甚 bu4'wei2'yi3'shen4
不闻不问 bu4'wen2'bu4'wen4
不无小补 bu4'wu2'xiao3'bu3
不务正业 bu4'wu4'zheng4'ye4
不相上下 bu4'xiang1'shang4'xia4
不屑一顾 bu4'xie4'yi1'gu4
不省人事 bu4'xing3'ren2'shi4
不修边幅 bu4'xiu1'bian1'fu2
不虚此行 bu4'xu1'ci3'xing2
不宣而战 bu4'xuan1'er2'zhan4
不学无术 bu4'xue2'wu2'shu4
不言而喻 bu4'yan2'er2'yu4
不一而足 bu4'yi1'er2'zu2
不遗余力 bu4'yi2'yu2'li4
不以为然 bu4'yi3'wei2'ran2
不以为意 bu4'yi3'wei2'yi4
不翼而飞 bu4'yi4'er2'fei1
不亦乐乎 bu4'yi4'le4'hu1
不义之财 bu4'yi4'zhi1'cai2
不由分说 bu4'you2'fen1'shuo1
不远千里 bu4'yuan3'qian1'li3
不约而同 bu4'yue1'er2'tong2
不在话下 bu4'zai4'hua4'xia4
不择手段 bu4'ze2'shou3'duan4
不折不扣 bu4'zhe2'bu4'kou4
不正之风 bu4'zheng4'zhi1'feng1
不知不觉 bu4'zhi1'bu4'jue2
不知就里 bu4'zhi1'jiu4'li3
不知死活 bu4'zhi1'si3'huo2
不知所措 bu4'zhi1'suo3'cuo4
不知所云 bu4'zhi1'suo3'yun2
不值一提 bu4'zhi2'yi1'ti2
不足挂齿 bu4'zu2'gua4'chi3
不足为怪 bu4'zu2'wei2'guai4
不足为凭 bu4'zu2'wei2'ping2
不足为奇 bu4'zu2'wei2'qi2
不足为训 bu4'zu2'wei2'xun4
布达拉宫 bu4'da2'la1'gong1
步步为营 bu4'bu4'wei2'ying2
步履维艰 bu4'lv3'wei2'jian1
步人后尘 bu4'ren2'hou4'chen2
擦肩而过 ca1'jian1'er2'guo4
才高八斗 cai2'gao1'ba1'dou3
才疏学浅 cai2'shu1'xue2'qian3
才子佳人 cai2'zi3'jia1'ren2
财大气粗 cai2'da4'qi4'cu1
财迷心窍 cai2'mi2'xin1'qiao4
残兵败将 can2'bing1'bai4'jiang4
残垣断壁 can2'yuan2'duan4'bi4
残渣余孽 can2'zha1'yu2'nie4
惨不忍睹 can3'bu4'ren3'du3
惨淡经营 can3'dan4'jing1'ying2
惨绝人寰 can3'jue2'ren2'huan2
惨无人道 can3'wu2'ren2'dao4
仓储超市 cang1'chu3'chao1'shi4
沧海桑田 cang1'hai3'sang1'tian2
沧海横流 cang1'hai3'heng2'liu2
沧海一粟 cang1'hai3'yi1'su4
藏龙卧虎 cang2'long2'wo4'hu3
藏头露尾 cang2'tou2'lu4'wei3
藏污纳垢 cang2'wu1'na4'gou4
操之过急 cao1'zhi1'guo4'ji2
草菅人命 cao3'jian1'ren2'ming4
草莽英雄 cao3'mang3'ying1'xiong2
草木皆兵 cao3'mu4'jie1'bing1
草台班子 cao3'tai2'ban1'zi
侧目而视 ce4'mu4'er2'shi4
恻隐之心 ce4'yin3'zhi1'xin1
参差不齐 cen1'ci1'bu4'qi2
层出不穷 ceng2'chu1'bu4'qiong2
层峦叠嶂 ceng2'luan2'die2'zhang4
曾几何时 ceng2'ji3'he2'shi2
曾经沧海 ceng2'jing1'cang1'hai3
插翅难飞 cha1'chi4'nan2'fei1
插科打诨 cha1'ke1'da3'hun4
